Fund,Morningstar rating,Average credit quality,1 year quartile ranking,3 year quartile ranking,5 year quartile ranking
UBS (Lux) Key Selection SICAV-China Allocation Opportunity(P-HKD-MD-C),2,B,2nd,2nd,4th
UBS (Lux) Key Selection SICAV-China Allocation Opportunity(P-USD-MD-C),3,B,2nd,2nd,4th
ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE (CLASS AT-HKD-ACC),2,B,3rd,4th,3rd
ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE (CLASS AT-USD-ACC),2,B,3rd,4th,3rd
ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE (CLASS AT-H2-EUR-ACC),N/A,B,N/A,N/A,N/A
ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE (CLASS AT-H2-SGD-ACC),N/A,B,N/A,N/A,N/A
ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE (CLASS AT-H2-RMB-ACC),N/A,B,N/A,N/A,N/A
FIDELITY FUNDS - ASIAN HIGH YIELD FUND (A-MINCOME(G)-HKD-MDC),N/A,B,1st,N/A,N/A
FIDELITY FUNDS - ASIAN HIGH YIELD FUND (A-MINCOME(G)-USD-MDC),3,B,1st,2nd,3rd
FIDELITY FUNDS - ASIAN HIGH YIELD FUND (A-HMDIST(G)-AUDH-C),N/A,B,N/A,N/A,N/A
