Fund,1 month,3 month,6 month,1 year,3 year,5 year,10 year,Since inception
HSBC ASIAN HIGH YIELD BOND FUND (CLASS AM3-EURH-MDIST-CASH),1.24%,3.25%,0.90%,1.85%,1.82%,-7.36%,-1.36%,-1.12%
HSBC ASIAN BOND FUND (CLASS AM3-EURH-MDIST-CASH),0.81%,3.07%,2.20%,2.19%,2.03%,-2.82%,-0.19%,0.34%
BLACKROCK GLOBAL FUNDS-ASIAN TIGER BOND FUND (A6-EUR-HED-MDIST-CASH),1.31%,3.68%,2.70%,4.27%,3.61%,-2.77%,-0.11%,-0.23%
HSBC ASIAN HIGH YIELD BOND FUND (CLASS AM3-AUDH-MDIST-CASH),1.43%,3.74%,1.61%,3.19%,2.87%,-6.52%,0.14%,0.48%
HSBC Portfolios - World Selection 1 (AM-EURH-MDIST-CASH),0.68%,1.89%,2.80%,3.31%,2.29%,-0.86%,0.25%,0.17%
Franklin US Government Fund (Class A-MDIST Unit),1.46%,3.70%,3.45%,2.45%,1.98%,-0.91%,0.30%,2.92%
Franklin US Government Fund (Class A-MDIST Cash),1.46%,3.70%,3.45%,2.45%,1.98%,-0.91%,0.30%,2.92%
HSBC GIF Global Bond (Class AD),1.01%,2.13%,5.13%,2.80%,2.67%,-2.27%,0.38%,3.62%
FIDELITY FUNDS - ASIAN HIGH YIELD FUND (A-HMDIST(G)-AUDH-C),1.71%,4.48%,4.12%,10.13%,8.39%,-4.83%,0.49%,0.95%
HSBC ASIAN HIGH YIELD BOND FUND (CLASS AM2-USD-MDIST CASH),1.49%,3.91%,2.09%,3.92%,4.00%,-5.73%,0.51%,1.84%
