Fund,Stock,Bond,Cash,Others
BlackRock Asian Tiger Bond Fund (Class A2),-0.23%,79.58%,16.96%,3.68%
BlackRock Asian Tiger Bond Fund (Class A3-MDIST Cash),-0.23%,79.58%,16.96%,3.68%
BlackRock Asian Tiger Bond Fund (Class A3-MDIST Unit),-0.23%,79.58%,16.96%,3.68%
BlackRock Asian Tiger Bond Fund (A3-HKDH-MDIST Cash),-0.23%,79.58%,16.96%,3.68%
BlackRock Asian Tiger Bond Fund (A3-HKDH-MDIST Unit),-0.23%,79.58%,16.96%,3.68%
BLACKROCK GLOBAL FUNDS-ASIAN TIGER BOND FUND (A6-USD-MDIST-CASH),-0.23%,79.58%,16.96%,3.68%
BLACKROCK GLOBAL FUNDS-ASIAN TIGER BOND FUND (A6-HKD-HED-MDIST-CASH),-0.23%,79.58%,16.96%,3.68%
BLACKROCK GLOBAL FUNDS-ASIAN TIGER BOND FUND (A8-AUD-HED-MDIST-CASH),-0.23%,79.58%,16.96%,3.68%
BLACKROCK GLOBAL FUNDS-ASIAN TIGER BOND FUND (A6-EUR-HED-MDIST-CASH),-0.23%,79.58%,16.96%,3.68%
BLACKROCK GLOBAL FUNDS-ASIAN TIGER BOND FUND (A6-GBP-HED-MDIST-CASH),-0.23%,79.58%,16.96%,3.68%
