Fund,1st,2nd,3rd,4th,5th
AB - AMERICAN INCOME PORTFOLIO (CLASS AT-NZDH-MDIST CASH),Financial Services,Energy,Basic Materials,Technology,Healthcare
AB - AMERICAN INCOME PORTFOLIO (CLASS AT-RMBH-MDIST CASH),Financial Services,Energy,Basic Materials,Technology,Healthcare
AB - American Income Portfolio (Class A2 - USD),Financial Services,Energy,Basic Materials,Technology,Healthcare
AB - American Income Portfolio (Class A2-EUR),Financial Services,Energy,Basic Materials,Technology,Healthcare
AB - American Income Portfolio (Class AT-AUD Hedged-MDIST Cash),Financial Services,Energy,Basic Materials,Technology,Healthcare
AB - American Income Portfolio (Class AT-CAD H-MDIST Cash),Financial Services,Energy,Basic Materials,Technology,Healthcare
AB - American Income Portfolio (Class AT-EUR Hedged-MDIST Cash),Financial Services,Energy,Basic Materials,Technology,Healthcare
AB - American Income Portfolio (Class AT-GBP H-MDIST Cash),Financial Services,Energy,Basic Materials,Technology,Healthcare
AB - American Income Portfolio (Class AT-HKD-MDIST Cash),Financial Services,Energy,Basic Materials,Technology,Healthcare
AB - American Income Portfolio (Class AT-SGD H-MDIST Cash),Financial Services,Energy,Basic Materials,Technology,Healthcare
