Fund,1st,2nd,3rd,4th,5th
BlackRock World Gold Fund (Class A2),"Canada
67.45%","United States
8.95%","Australasia
7.93%","United Kingdom
6.12%","Africa
5.18%"
MRF-HSBC Jintrust Dynamic Strategy Mixed Sec Inv FD (Class H DIST CASH),"Asia - Emerging
94.68%",,,,
INVESCO Global Consumer Trends Fund (Class A),"United States
79.00%","Eurozone
8.55%","Latin America
4.17%","Canada
2.98%","Asia - Developed
2.66%"
HSBC GIF - HONG KONG EQUITY (CLASS AC-HKD),"Asia - Emerging
75.35%","Asia - Developed
15.16%","United Kingdom
8.54%","Europe
0.71%",
HSBC GIF - HONG KONG EQUITY (CLASS AC-USD),"Asia - Emerging
75.35%","Asia - Developed
15.16%","United Kingdom
8.54%","Europe
0.71%",
NINETY ONE ALL CHINA EQUITY FUND (A-HKD-ACC),"Asia - Emerging
92.46%","United States
2.78%","Asia - Developed
2.01%",,
NINETY ONE ALL CHINA EQUITY FUND (A-USD-ACC),"Asia - Emerging
92.46%","United States
2.78%","Asia - Developed
2.01%",,
Schroder ISF China Opportunities (Class A-HKD-Accumulation),"Asia - Emerging
91.74%","Asia - Developed
7.14%",,,
Schroder ISF China Opportunities (Class A-Accumulation),"Asia - Emerging
91.74%","Asia - Developed
7.14%",,,
HSBC GIF - CHINESE EQUITY (CLASS AC-HKD),"Asia - Emerging
93.34%","Asia - Developed
3.25%","Europe
0.74%",,
