Fund,1st,2nd,3rd,4th,5th
AB - AMERICAN INCOME PORTFOLIO (CLASS AT-NZDH-MDIST CASH),"Government
78.81%","Corporate
53.91%","Securitized
25.96%","Municipal
0.09%",
AB - AMERICAN INCOME PORTFOLIO (CLASS AT-RMBH-MDIST CASH),"Government
78.81%","Corporate
53.91%","Securitized
25.96%","Municipal
0.09%",
AB - American Income Portfolio (Class A2 - USD),"Government
78.81%","Corporate
53.91%","Securitized
25.96%","Municipal
0.09%",
AB - American Income Portfolio (Class A2-EUR),"Government
78.81%","Corporate
53.91%","Securitized
25.96%","Municipal
0.09%",
AB - American Income Portfolio (Class AT-AUD Hedged-MDIST Cash),"Government
78.81%","Corporate
53.91%","Securitized
25.96%","Municipal
0.09%",
AB - American Income Portfolio (Class AT-CAD H-MDIST Cash),"Government
78.81%","Corporate
53.91%","Securitized
25.96%","Municipal
0.09%",
AB - American Income Portfolio (Class AT-EUR Hedged-MDIST Cash),"Government
78.81%","Corporate
53.91%","Securitized
25.96%","Municipal
0.09%",
AB - American Income Portfolio (Class AT-GBP H-MDIST Cash),"Government
78.81%","Corporate
53.91%","Securitized
25.96%","Municipal
0.09%",
AB - American Income Portfolio (Class AT-HKD-MDIST Cash),"Government
78.81%","Corporate
53.91%","Securitized
25.96%","Municipal
0.09%",
AB - American Income Portfolio (Class AT-SGD H-MDIST Cash),"Government
78.81%","Corporate
53.91%","Securitized
25.96%","Municipal
0.09%",
