Fund,HSBC initial charge,Annual management fee (maximum),HSBC minimum investment amount,Expense ratio
HSBC GIF - ULTRA SHORT DURATION BOND (CLASS PC-HKD-ACC),2.00%,0.30%,"HKD 10,000",0.45%
HSBC GIF - ULTRA SHORT DURATION BOND (CLASS PC-USD-ACC),2.00%,0.30%,"USD 1,000",0.45%
HSBC GIF - ULTRA SHORT DURATION BOND (CLASS PC-GBPH-ACC),2.00%,0.30%,GBP 650,0.46%
HSBC GIF - ULTRA SHORT DURATION BOND (CLASS PC-AUDH-ACC),2.00%,0.30%,"AUD 1,500",0.47%
HSBC Global Money Funds - US Dollar (Class C-ACC),0.00%,0.30%,"USD 1,000",N/A
HSBC Global Money Funds - Hong Kong Dollar (Class C-ACC),0.00%,0.30%,"HKD 10,000",N/A
HSBC GIF - ULTRA SHORT DURATION BOND (CLASS PC-RMBH-ACC),2.00%,0.30%,"CNY 10,000",0.47%
HSBC GLOBAL MONEY FUNDS - RENMINBI (CLASS C-ACC),0.00%,0.30%,"CNY 10,000",N/A
HSBC Global Investment Funds - Economic Scale US Equity (Class PD),3.00%,0.40%,"USD 1,000",0.70%
HSBC GIF-GLOBAL SHORT DURATION BOND (CLASS AM2-HKD-MD-C),2.00%,0.50%,"HKD 10,000",0.70%
